id,ph,dissolved_oxygen,electric_conductivity,date,station_point_id
417,5.61,6.94,104.89,2018-08-01 10:36:00,1
418,5.57,6.93,112.62,2018-08-01 10:37:00,1
419,5.56,6.93,131.14,2018-08-01 10:38:00,1
420,5.56,6.93,100.23,2018-08-01 10:39:00,1
421,5.56,6.94,131.18,2018-08-01 10:40:00,1
422,5.56,7.22,128.96,2018-08-01 10:41:00,1
423,5.63,6.42,133.68,2018-08-01 10:42:00,1
424,5.60,6.40,122.71,2018-08-01 10:43:00,1
425,5.60,6.38,102.82,2018-08-01 10:44:00,1
426,5.56,6.38,137.65,2018-08-01 10:45:00,1
427,5.52,6.38,103.66,2018-08-01 10:46:00,1
428,5.53,6.39,138.02,2018-08-01 10:47:00,1
429,5.52,6.37,114.22,2018-08-01 10:48:00,1
430,5.52,6.38,106.20,2018-08-01 10:49:00,1
431,5.53,6.38,109.36,2018-08-01 10:50:00,1
432,5.52,6.39,101.13,2018-08-01 10:51:00,1
433,5.63,6.39,117.06,2018-08-01 10:52:00,1
434,5.56,6.38,116.32,2018-08-01 10:53:00,1
435,5.53,6.16,146.42,2018-08-01 10:54:00,1
436,5.51,6.16,112.46,2018-08-01 10:55:00,1
437,5.57,6.42,110.71,2018-08-01 10:56:00,1
438,6.01,6.49,135.71,2018-08-01 10:57:00,1
439,5.55,6.47,124.31,2018-08-01 10:58:00,1
440,4.98,2.87,140.61,2018-08-01 10:59:00,1
441,4.99,2.88,148.54,2018-08-01 11:00:00,1
442,5.15,3.04,127.50,2018-08-01 11:01:00,1
443,5.18,3.07,145.56,2018-08-01 11:02:00,1
444,5.37,3.26,105.39,2018-08-01 11:03:00,1
445,5.36,3.25,116.24,2018-08-01 11:04:00,1
446,5.40,3.29,143.10,2018-08-01 11:05:00,1
447,5.58,3.47,143.81,2018-08-01 11:06:00,1
448,5.60,3.49,141.13,2018-08-01 11:07:00,1
449,5.60,3.49,129.92,2018-08-01 11:08:00,1
450,5.59,3.48,126.01,2018-08-01 11:09:00,1
451,5.59,3.48,131.65,2018-08-01 11:10:00,1
452,5.58,3.47,100.67,2018-08-01 11:11:00,1
453,5.58,3.47,141.67,2018-08-01 11:12:00,1
454,5.58,3.47,126.12,2018-08-01 11:13:00,1
455,5.57,3.46,122.87,2018-08-01 11:14:00,1
456,5.57,3.46,137.72,2018-08-01 11:15:00,1
457,5.57,3.46,119.32,2018-08-01 11:16:00,1
458,5.56,3.53,103.77,2018-08-01 11:17:00,1
459,5.56,3.53,120.08,2018-08-01 11:18:00,1
460,5.56,3.53,112.36,2018-08-01 11:19:00,1
461,5.55,3.52,114.25,2018-08-01 11:20:00,1
462,5.55,3.52,132.57,2018-08-01 11:21:00,1
463,5.55,3.52,138.50,2018-08-01 11:22:00,1
464,5.54,3.51,114.04,2018-08-01 11:23:00,1
465,5.54,3.51,102.85,2018-08-01 11:24:00,1
466,5.54,3.51,143.59,2018-08-01 11:25:00,1
