id,ph,dissolved_oxygen,electric_conductivity,date,station_point_id
555,9.11,5.72,789.35,2018-08-01 10:36:00,2
556,9.10,5.72,786.25,2018-08-01 10:37:00,2
557,9.10,5.72,800.50,2018-08-01 10:38:00,2
558,9.10,5.71,723.39,2018-08-01 10:39:00,2
559,9.11,5.71,811.92,2018-08-01 10:40:00,2
560,9.10,5.71,811.59,2018-08-01 10:41:00,2
561,8.30,5.70,747.10,2018-08-01 10:42:00,2
562,8.28,5.70,773.08,2018-08-01 10:43:00,2
563,8.26,5.70,754.94,2018-08-01 10:44:00,2
564,8.26,5.70,812.89,2018-08-01 10:45:00,2
565,8.26,5.69,793.54,2018-08-01 10:46:00,2
566,8.27,5.69,791.60,2018-08-01 10:47:00,2
567,8.25,5.68,751.55,2018-08-01 10:48:00,2
568,8.26,5.68,799.39,2018-08-01 10:49:00,2
569,8.26,5.69,830.99,2018-08-01 10:50:00,2
570,8.27,5.68,810.21,2018-08-01 10:51:00,2
571,8.27,5.68,754.56,2018-08-01 10:52:00,2
572,8.26,5.67,778.33,2018-08-01 10:53:00,2
573,8.27,5.67,796.78,2018-08-01 10:54:00,2
574,8.27,5.56,788.22,2018-08-01 10:55:00,2
575,8.53,5.54,717.35,2018-08-01 10:56:00,2
576,8.60,5.52,791.57,2018-08-01 10:57:00,2
577,8.58,5.54,739.30,2018-08-01 10:58:00,2
578,8.74,5.55,746.13,2018-08-01 10:59:00,2
579,8.66,5.67,762.34,2018-08-01 11:00:00,2
580,8.66,5.67,816.26,2018-08-01 11:01:00,2
581,8.71,6.07,778.26,2018-08-01 11:02:00,2
582,8.69,6.08,765.93,2018-08-01 11:03:00,2
583,8.67,6.12,775.29,2018-08-01 11:04:00,2
584,8.69,6.07,830.76,2018-08-01 11:05:00,2
585,8.69,6.05,730.74,2018-08-01 11:06:00,2
586,8.72,6.00,776.22,2018-08-01 11:07:00,2
587,8.73,6.02,804.34,2018-08-01 11:08:00,2
588,8.76,6.01,816.71,2018-08-01 11:09:00,2
589,8.72,5.99,798.88,2018-08-01 11:10:00,2
590,8.71,5.97,756.27,2018-08-01 11:11:00,2
591,8.70,5.96,795.72,2018-08-01 11:12:00,2
592,8.64,5.95,830.03,2018-08-01 11:13:00,2
593,8.66,5.92,800.54,2018-08-01 11:14:00,2
594,8.67,5.89,810.19,2018-08-01 11:15:00,2
595,8.68,5.87,789.83,2018-08-01 11:16:00,2
596,8.68,5.87,818.37,2018-08-01 11:17:00,2
597,8.72,5.87,743.60,2018-08-01 11:18:00,2
598,9.36,5.89,717.05,2018-08-01 11:19:00,2
599,9.37,5.86,823.85,2018-08-01 11:20:00,2
600,9.41,5.85,796.52,2018-08-01 11:21:00,2
601,9.36,5.82,806.96,2018-08-01 11:22:00,2
602,9.34,5.82,821.19,2018-08-01 11:23:00,2
603,9.29,5.83,789.44,2018-08-01 11:24:00,2
604,9.31,5.94,792.74,2018-08-01 11:25:00,2
605,9.30,5.88,797.80,2018-08-01 11:26:00,2
606,9.28,5.82,718.12,2018-08-01 11:27:00,2
607,9.26,5.79,752.26,2018-08-01 11:28:00,2
608,9.25,5.79,819.22,2018-08-01 11:29:00,2
609,9.24,5.79,713.27,2018-08-01 11:30:00,2
610,9.21,5.78,778.18,2018-08-01 11:31:00,2
611,9.18,5.75,764.01,2018-08-01 11:32:00,2
612,9.16,5.73,829.85,2018-08-01 11:33:00,2
613,9.16,5.73,808.60,2018-08-01 11:34:00,2
614,9.16,5.75,801.83,2018-08-01 11:35:00,2
615,9.18,5.75,768.76,2018-08-01 11:36:00,2
616,9.15,5.72,737.67,2018-08-01 11:37:00,2
617,9.14,5.72,774.18,2018-08-01 11:38:00,2
618,9.11,5.72,714.66,2018-08-01 11:39:00,2
619,9.11,5.71,731.22,2018-08-01 11:40:00,2
620,9.12,5.70,771.72,2018-08-01 11:41:00,2
621,9.23,5.69,777.28,2018-08-01 11:42:00,2
622,9.17,5.68,821.12,2018-08-01 11:43:00,2
623,9.11,5.67,814.01,2018-08-01 11:44:00,2
624,9.08,5.69,818.41,2018-08-01 11:45:00,2
625,9.08,5.68,799.43,2018-08-01 11:46:00,2
626,9.08,5.65,775.15,2018-08-01 11:47:00,2
627,9.07,5.66,828.61,2018-08-01 11:48:00,2
628,9.04,5.66,819.33,2018-08-01 11:49:00,2
629,9.02,5.67,833.09,2018-08-01 11:50:00,2
630,9.02,5.61,715.20,2018-08-01 11:51:00,2
631,9.04,5.63,764.62,2018-08-01 11:52:00,2
632,9.04,5.63,795.66,2018-08-01 11:53:00,2
633,9.01,5.63,824.14,2018-08-01 11:54:00,2
634,9.01,5.62,743.45,2018-08-01 11:55:00,2
635,9.01,5.61,758.46,2018-08-01 11:56:00,2
636,9.00,5.62,787.84,2018-08-01 11:57:00,2
637,8.99,5.61,814.71,2018-08-01 11:58:00,2
638,8.98,5.60,827.09,2018-08-01 11:59:00,2
639,8.97,5.59,788.38,2018-08-01 12:00:00,2
640,8.96,5.58,737.81,2018-08-01 12:01:00,2
641,8.98,5.59,761.61,2018-08-01 12:02:00,2
642,8.97,5.59,744.02,2018-08-01 12:03:00,2
643,8.94,5.58,780.15,2018-08-01 12:04:00,2
644,8.95,5.56,798.17,2018-08-01 12:05:00,2
645,8.95,5.58,820.98,2018-08-01 12:06:00,2
646,8.96,5.57,739.85,2018-08-01 12:07:00,2
647,8.90,5.55,821.37,2018-08-01 12:08:00,2
648,8.92,5.55,807.36,2018-08-01 12:09:00,2
649,8.92,5.55,805.50,2018-08-01 12:10:00,2
650,8.92,5.54,753.88,2018-08-01 12:11:00,2
651,8.91,5.53,811.00,2018-08-01 12:12:00,2
652,8.90,5.54,730.73,2018-08-01 12:13:00,2
653,8.91,5.53,771.96,2018-08-01 12:14:00,2
654,8.90,5.53,804.01,2018-08-01 12:15:00,2
655,8.89,5.52,828.57,2018-08-01 12:16:00,2
656,8.88,5.54,818.21,2018-08-01 12:17:00,2
657,8.87,5.56,826.83,2018-08-01 12:18:00,2
658,8.88,5.54,769.20,2018-08-01 12:19:00,2
659,8.88,5.52,760.15,2018-08-01 12:20:00,2
660,8.87,5.54,750.71,2018-08-01 12:21:00,2
661,8.85,5.55,766.64,2018-08-01 12:22:00,2
662,8.87,5.56,810.78,2018-08-01 12:23:00,2
663,8.86,5.58,786.30,2018-08-01 12:24:00,2
664,8.84,5.60,828.24,2018-08-01 12:25:00,2
665,8.84,5.61,819.26,2018-08-01 12:26:00,2
666,8.84,5.63,776.77,2018-08-01 12:27:00,2
667,8.83,5.64,805.04,2018-08-01 12:28:00,2
668,8.82,5.65,717.96,2018-08-01 12:29:00,2
669,8.83,5.68,760.37,2018-08-01 12:30:00,2
670,8.82,5.67,801.51,2018-08-01 12:31:00,2
671,8.82,5.69,805.03,2018-08-01 12:32:00,2
672,8.81,5.72,806.21,2018-08-01 12:33:00,2
673,8.83,5.72,762.53,2018-08-01 12:34:00,2
674,8.85,5.72,734.07,2018-08-01 12:35:00,2
675,8.83,5.73,735.59,2018-08-01 12:36:00,2
676,8.81,5.73,785.94,2018-08-01 12:37:00,2
677,8.83,5.73,788.38,2018-08-01 12:38:00,2
678,8.84,5.74,772.50,2018-08-01 12:39:00,2
679,8.85,5.74,769.41,2018-08-01 12:40:00,2
680,8.87,5.74,718.75,2018-08-01 12:41:00,2
681,8.89,5.74,735.94,2018-08-01 12:42:00,2
682,8.90,5.74,770.01,2018-08-01 12:43:00,2
683,8.92,5.75,742.33,2018-08-01 12:44:00,2
684,8.93,5.75,786.78,2018-08-01 12:45:00,2
685,8.94,5.74,761.55,2018-08-01 12:46:00,2
686,8.97,5.74,798.75,2018-08-01 12:47:00,2
687,8.96,5.74,733.43,2018-08-01 12:48:00,2
688,8.98,5.74,768.50,2018-08-01 12:49:00,2
689,9.01,5.74,739.01,2018-08-01 12:50:00,2
690,9.01,5.73,809.10,2018-08-01 12:51:00,2
691,9.01,5.73,827.07,2018-08-01 12:52:00,2
692,9.02,5.73,833.76,2018-08-01 12:53:00,2
