id,ph,dissolved_oxygen,electric_conductivity,date,station_point_id
693,6.27,6.95,841.33,2018-08-01 10:36:00,3
694,5.82,6.90,790.58,2018-08-01 10:37:00,3
695,5.86,7.03,850.74,2018-08-01 10:38:00,3
696,6.25,6.97,782.60,2018-08-01 10:39:00,3
697,5.86,7.03,822.32,2018-08-01 10:40:00,3
698,5.67,7.02,785.94,2018-08-01 10:41:00,3
699,6.10,6.99,821.17,2018-08-01 10:42:00,3
700,6.05,6.98,804.86,2018-08-01 10:43:00,3
701,6.04,6.98,804.03,2018-08-01 10:44:00,3
702,5.80,6.97,795.40,2018-08-01 10:45:00,3
703,6.24,6.96,780.96,2018-08-01 10:46:00,3
704,5.73,6.96,813.96,2018-08-01 10:47:00,3
705,6.14,6.95,852.32,2018-08-01 10:48:00,3
706,5.64,6.96,853.77,2018-08-01 10:49:00,3
707,5.70,6.95,830.24,2018-08-01 10:50:00,3
708,6.22,6.94,781.78,2018-08-01 10:51:00,3
709,5.78,6.94,817.43,2018-08-01 10:52:00,3
710,5.80,6.94,779.76,2018-08-01 10:53:00,3
711,5.88,6.94,779.52,2018-08-01 10:54:00,3
712,5.81,6.87,847.35,2018-08-01 10:55:00,3
713,6.08,6.95,780.29,2018-08-01 10:56:00,3
714,6.15,6.96,852.86,2018-08-01 10:57:00,3
715,5.71,6.99,847.45,2018-08-01 10:58:00,3
716,5.84,6.99,849.78,2018-08-01 10:59:00,3
717,5.90,7.00,805.19,2018-08-01 11:00:00,3
718,6.12,6.99,781.85,2018-08-01 11:01:00,3
719,5.91,6.98,827.83,2018-08-01 11:02:00,3
720,5.71,6.98,781.34,2018-08-01 11:03:00,3
721,6.10,6.98,788.79,2018-08-01 11:04:00,3
722,6.08,6.99,820.24,2018-08-01 11:05:00,3
723,6.12,6.98,810.49,2018-08-01 11:06:00,3
724,5.80,6.97,855.03,2018-08-01 11:07:00,3
725,6.04,6.97,829.18,2018-08-01 11:08:00,3
726,6.13,6.97,782.92,2018-08-01 11:09:00,3
727,5.67,6.97,853.55,2018-08-01 11:10:00,3
728,6.20,6.97,784.48,2018-08-01 11:11:00,3
729,6.31,6.97,799.37,2018-08-01 11:12:00,3
730,6.02,6.97,829.73,2018-08-01 11:13:00,3
731,5.68,6.97,847.65,2018-08-01 11:14:00,3
732,6.28,6.97,840.98,2018-08-01 11:15:00,3
733,6.11,6.97,821.53,2018-08-01 11:16:00,3
734,6.17,6.97,791.44,2018-08-01 11:17:00,3
735,6.31,6.97,822.99,2018-08-01 11:18:00,3
736,5.84,6.97,853.64,2018-08-01 11:19:00,3
737,5.62,6.97,825.59,2018-08-01 11:20:00,3
738,5.86,6.97,818.29,2018-08-01 11:21:00,3
739,6.11,6.97,779.80,2018-08-01 11:22:00,3
740,5.79,6.97,813.34,2018-08-01 11:23:00,3
741,6.32,6.98,819.98,2018-08-01 11:24:00,3
742,5.88,6.98,804.89,2018-08-01 11:25:00,3
743,6.25,6.98,787.98,2018-08-01 11:26:00,3
744,6.27,6.98,799.86,2018-08-01 11:27:00,3
745,5.91,6.98,836.98,2018-08-01 11:28:00,3
746,5.73,6.97,819.93,2018-08-01 11:29:00,3
747,5.70,6.97,810.51,2018-08-01 11:30:00,3
748,5.94,6.97,789.60,2018-08-01 11:31:00,3
749,5.70,6.97,855.21,2018-08-01 11:32:00,3
750,5.93,6.97,854.28,2018-08-01 11:33:00,3
751,6.10,6.97,819.96,2018-08-01 11:34:00,3
752,6.34,6.97,815.07,2018-08-01 11:35:00,3
753,5.67,6.97,796.30,2018-08-01 11:36:00,3
754,5.80,6.97,848.22,2018-08-01 11:37:00,3
755,5.86,6.97,844.20,2018-08-01 11:38:00,3
756,6.24,6.97,821.52,2018-08-01 11:39:00,3
757,5.74,6.97,804.03,2018-08-01 11:40:00,3
758,5.93,6.97,810.75,2018-08-01 11:41:00,3
759,5.62,6.97,779.80,2018-08-01 11:42:00,3
760,5.94,6.97,792.82,2018-08-01 11:43:00,3
761,6.11,6.97,849.45,2018-08-01 11:44:00,3
762,6.09,6.97,832.28,2018-08-01 11:45:00,3
763,5.74,6.97,781.68,2018-08-01 11:46:00,3
764,5.58,6.97,836.69,2018-08-01 11:47:00,3
765,5.67,6.97,799.04,2018-08-01 11:48:00,3
766,5.84,6.97,790.27,2018-08-01 11:49:00,3
767,5.98,6.97,848.38,2018-08-01 11:50:00,3
768,5.83,6.97,822.45,2018-08-01 11:51:00,3
769,6.06,6.96,834.79,2018-08-01 11:52:00,3
770,6.03,6.96,843.30,2018-08-01 11:53:00,3
771,5.86,6.96,812.51,2018-08-01 11:54:00,3
772,5.81,6.96,843.93,2018-08-01 11:55:00,3
773,6.20,6.96,846.97,2018-08-01 11:56:00,3
774,5.95,6.95,838.67,2018-08-01 11:57:00,3
775,5.88,6.85,789.70,2018-08-01 11:58:00,3
776,5.61,7.46,834.74,2018-08-01 11:59:00,3
777,6.26,7.11,819.93,2018-08-01 12:00:00,3
778,5.93,7.12,793.59,2018-08-01 12:01:00,3
779,5.96,6.99,821.29,2018-08-01 12:02:00,3
780,6.20,7.03,812.61,2018-08-01 12:03:00,3
781,5.68,7.06,813.45,2018-08-01 12:04:00,3
782,5.95,7.08,817.82,2018-08-01 12:05:00,3
783,5.88,7.17,794.37,2018-08-01 12:06:00,3
784,6.28,7.28,801.16,2018-08-01 12:07:00,3
785,5.88,7.53,843.19,2018-08-01 12:08:00,3
786,5.81,7.62,832.38,2018-08-01 12:09:00,3
787,5.67,7.80,831.06,2018-08-01 12:10:00,3
788,5.85,7.72,828.98,2018-08-01 12:11:00,3
789,5.72,7.67,779.18,2018-08-01 12:12:00,3
790,5.77,7.61,807.28,2018-08-01 12:13:00,3
791,5.68,7.54,820.14,2018-08-01 12:14:00,3
792,6.05,7.48,799.61,2018-08-01 12:15:00,3
793,6.14,7.40,846.38,2018-08-01 12:16:00,3
794,6.09,7.34,819.23,2018-08-01 12:17:00,3
795,5.67,7.28,821.75,2018-08-01 12:18:00,3
796,5.57,7.23,812.25,2018-08-01 12:19:00,3
797,5.95,7.18,778.62,2018-08-01 12:20:00,3
798,6.05,7.14,833.10,2018-08-01 12:21:00,3
799,5.84,7.10,778.29,2018-08-01 12:22:00,3
800,5.77,7.07,810.82,2018-08-01 12:23:00,3
