id,ph,dissolved_oxygen,electric_conductivity,date,station_point_id
140,10.24,3.04,898.53,2018-07-01 09:56:00,2
141,10.33,3.21,899.08,2018-07-01 09:57:00,2
142,10.42,2.90,893.04,2018-07-01 09:58:00,2
143,10.20,3.25,919.52,2018-07-01 09:59:00,2
144,10.20,3.14,892.20,2018-07-01 10:00:00,2
145,10.17,3.00,907.32,2018-07-01 10:01:00,2
146,10.46,2.93,909.41,2018-07-01 10:02:00,2
147,10.53,2.95,909.94,2018-07-01 10:03:00,2
148,10.23,3.05,914.59,2018-07-01 10:04:00,2
149,10.24,3.09,891.94,2018-07-01 10:05:00,2
150,10.20,3.42,917.48,2018-07-01 10:06:00,2
151,10.42,2.93,920.15,2018-07-01 10:07:00,2
152,10.43,3.32,913.88,2018-07-01 10:08:00,2
153,10.26,3.29,900.47,2018-07-01 10:09:00,2
154,10.28,2.94,920.42,2018-07-01 10:10:00,2
155,10.31,3.01,922.99,2018-07-01 10:11:00,2
156,10.25,2.90,920.93,2018-07-01 10:12:00,2
157,10.41,2.90,922.83,2018-07-01 10:13:00,2
158,10.50,2.99,907.45,2018-07-01 10:14:00,2
159,10.20,3.35,905.28,2018-07-01 10:15:00,2
160,10.21,3.01,911.61,2018-07-01 10:16:00,2
161,10.28,3.00,909.23,2018-07-01 10:17:00,2
162,10.35,3.23,903.90,2018-07-01 10:18:00,2
163,10.43,3.04,910.48,2018-07-01 10:19:00,2
164,10.41,3.27,916.49,2018-07-01 10:20:00,2
165,10.34,2.95,902.51,2018-07-01 10:21:00,2
166,10.30,3.18,902.84,2018-07-01 10:22:00,2
167,10.44,3.18,906.30,2018-07-01 10:23:00,2
168,10.34,2.97,899.28,2018-07-01 10:24:00,2
169,10.36,3.28,900.23,2018-07-01 10:25:00,2
170,10.54,3.02,891.21,2018-07-01 10:26:00,2
171,10.36,3.03,899.86,2018-07-01 10:27:00,2
172,10.33,2.89,921.73,2018-07-01 10:28:00,2
173,10.32,3.23,897.10,2018-07-01 10:29:00,2
174,10.13,3.13,899.55,2018-07-01 10:30:00,2
175,10.47,3.40,923.47,2018-07-01 10:31:00,2
176,10.35,3.37,891.39,2018-07-01 10:32:00,2
177,10.17,3.11,922.95,2018-07-01 10:33:00,2
178,10.47,2.97,899.35,2018-07-01 10:34:00,2
179,10.18,3.04,913.11,2018-07-01 10:35:00,2
180,10.15,3.42,909.71,2018-07-01 10:36:00,2
181,10.17,3.37,906.83,2018-07-01 10:37:00,2
182,10.29,3.23,903.76,2018-07-01 10:38:00,2
183,10.30,3.00,907.69,2018-07-01 10:39:00,2
184,10.29,3.25,920.69,2018-07-01 10:40:00,2
185,10.47,3.42,891.08,2018-07-01 10:41:00,2
186,10.54,2.94,903.34,2018-07-01 10:42:00,2
187,10.36,3.39,897.65,2018-07-01 10:43:00,2
188,10.38,3.04,920.22,2018-07-01 10:44:00,2
189,10.22,3.15,904.95,2018-07-01 10:45:00,2
190,10.11,3.15,906.97,2018-07-01 10:46:00,2
191,10.52,2.93,902.38,2018-07-01 10:47:00,2
192,10.53,3.09,890.70,2018-07-01 10:48:00,2
193,10.39,3.17,893.71,2018-07-01 10:49:00,2
194,10.37,2.88,916.40,2018-07-01 10:50:00,2
195,10.43,2.95,922.96,2018-07-01 10:51:00,2
196,10.45,3.09,905.22,2018-07-01 10:52:00,2
197,10.42,3.43,898.58,2018-07-01 10:53:00,2
198,10.25,3.04,899.94,2018-07-01 10:54:00,2
199,10.24,3.07,917.28,2018-07-01 10:55:00,2
200,10.38,3.07,891.64,2018-07-01 10:56:00,2
201,10.17,3.04,915.92,2018-07-01 10:57:00,2
202,10.48,3.38,915.48,2018-07-01 10:58:00,2
203,10.26,3.16,897.00,2018-07-01 10:59:00,2
204,10.47,2.97,899.17,2018-07-01 11:00:00,2
205,10.42,2.91,918.09,2018-07-01 11:01:00,2
206,10.13,3.12,894.96,2018-07-01 11:02:00,2
207,10.34,3.41,908.25,2018-07-01 11:03:00,2
208,10.29,3.24,899.61,2018-07-01 11:04:00,2
209,10.43,2.91,896.73,2018-07-01 11:05:00,2
210,10.43,3.10,901.05,2018-07-01 11:06:00,2
211,10.23,3.18,899.31,2018-07-01 11:07:00,2
212,10.46,3.42,895.80,2018-07-01 11:08:00,2
213,10.30,3.16,895.52,2018-07-01 11:09:00,2
214,10.33,3.26,899.17,2018-07-01 11:10:00,2
215,10.50,3.10,920.94,2018-07-01 11:11:00,2
