id,ph,dissolved_oxygen,electric_conductivity,date,station_point_id
279,5.36,3.45,915.42,2018-07-01 09:56:00,3
280,5.45,3.76,944.81,2018-07-01 09:57:00,3
281,5.54,3.52,908.51,2018-07-01 09:58:00,3
282,5.32,3.62,922.67,2018-07-01 09:59:00,3
283,5.32,3.34,942.56,2018-07-01 10:00:00,3
284,5.29,3.15,951.78,2018-07-01 10:01:00,3
285,5.58,3.71,937.04,2018-07-01 10:02:00,3
286,5.65,3.45,917.60,2018-07-01 10:03:00,3
287,5.35,3.19,907.59,2018-07-01 10:04:00,3
288,5.36,3.64,917.59,2018-07-01 10:05:00,3
289,5.32,3.74,904.68,2018-07-01 10:06:00,3
290,5.54,3.67,931.12,2018-07-01 10:07:00,3
291,5.55,3.77,946.23,2018-07-01 10:08:00,3
292,5.38,3.31,938.60,2018-07-01 10:09:00,3
293,5.40,3.36,906.16,2018-07-01 10:10:00,3
294,5.43,3.25,924.47,2018-07-01 10:11:00,3
295,5.37,3.55,914.89,2018-07-01 10:12:00,3
296,5.53,3.14,923.96,2018-07-01 10:13:00,3
297,5.62,3.64,918.01,2018-07-01 10:14:00,3
298,5.32,3.46,945.70,2018-07-01 10:15:00,3
299,5.33,3.82,903.52,2018-07-01 10:16:00,3
300,5.40,3.26,918.71,2018-07-01 10:17:00,3
301,5.47,3.24,904.50,2018-07-01 10:18:00,3
302,5.55,3.56,915.54,2018-07-01 10:19:00,3
303,5.53,3.45,936.17,2018-07-01 10:20:00,3
304,5.46,3.63,914.12,2018-07-01 10:21:00,3
305,5.42,3.76,909.62,2018-07-01 10:22:00,3
306,5.56,3.24,915.97,2018-07-01 10:23:00,3
307,5.46,3.64,925.27,2018-07-01 10:24:00,3
308,5.48,3.68,949.06,2018-07-01 10:25:00,3
309,5.66,3.50,929.95,2018-07-01 10:26:00,3
310,5.48,3.18,940.33,2018-07-01 10:27:00,3
311,5.45,3.48,937.68,2018-07-01 10:28:00,3
312,5.44,3.77,924.34,2018-07-01 10:29:00,3
313,5.25,3.67,941.24,2018-07-01 10:30:00,3
314,5.59,3.55,906.79,2018-07-01 10:31:00,3
315,5.47,3.69,934.12,2018-07-01 10:32:00,3
316,5.29,3.40,907.83,2018-07-01 10:33:00,3
317,5.59,3.61,932.24,2018-07-01 10:34:00,3
318,5.30,3.54,946.64,2018-07-01 10:35:00,3
319,5.27,3.52,909.71,2018-07-01 10:36:00,3
320,5.29,3.69,909.18,2018-07-01 10:37:00,3
321,5.41,3.68,905.38,2018-07-01 10:38:00,3
322,5.42,3.77,952.44,2018-07-01 10:39:00,3
323,5.41,3.81,925.31,2018-07-01 10:40:00,3
324,5.59,3.18,932.44,2018-07-01 10:41:00,3
325,5.66,3.49,944.18,2018-07-01 10:42:00,3
326,5.48,3.26,948.34,2018-07-01 10:43:00,3
327,5.50,3.67,934.74,2018-07-01 10:44:00,3
328,5.34,3.60,916.40,2018-07-01 10:45:00,3
329,5.23,3.17,951.49,2018-07-01 10:46:00,3
330,5.64,3.25,944.16,2018-07-01 10:47:00,3
