id,ph,dissolved_oxygen,electric_conductivity,date,station_point_id
831,5.43,5.74,120.07,2018-09-02 08:29:00,1
832,5.83,5.44,119.32,2018-09-02 08:30:00,1
833,5.66,5.21,124.97,2018-09-02 08:31:00,1
834,5.94,5.71,118.72,2018-09-02 08:32:00,1
835,5.72,5.84,118.90,2018-09-02 08:33:00,1
836,5.51,5.69,119.23,2018-09-02 08:34:00,1
837,5.52,5.86,118.94,2018-09-02 08:35:00,1
838,6.00,5.60,122.07,2018-09-02 08:36:00,1
839,5.30,5.54,118.78,2018-09-02 08:37:00,1
840,5.36,5.61,119.59,2018-09-02 08:38:00,1
841,5.99,5.86,119.47,2018-09-02 08:39:00,1
842,5.91,5.64,119.53,2018-09-02 08:40:00,1
843,5.92,5.05,119.63,2018-09-02 08:41:00,1
844,5.26,5.79,119.67,2018-09-02 08:42:00,1
845,5.86,5.27,119.11,2018-09-02 08:43:00,1
846,6.00,5.77,119.24,2018-09-02 08:44:00,1
847,5.31,5.06,118.67,2018-09-02 08:45:00,1
848,5.62,5.49,119.66,2018-09-02 08:46:00,1
849,5.57,5.60,115.05,2018-09-02 08:47:00,1
850,5.84,5.12,120.08,2018-09-02 08:48:00,1
851,5.89,5.95,118.83,2018-09-02 08:49:00,1
852,5.80,5.89,119.87,2018-09-02 08:50:00,1
853,5.98,5.07,120.27,2018-09-02 08:51:00,1
854,5.78,5.37,127.85,2018-09-02 08:52:00,1
855,5.47,5.43,119.95,2018-09-02 08:53:00,1
856,5.99,5.08,119.00,2018-09-02 08:54:00,1
857,5.86,5.23,119.12,2018-09-02 08:55:00,1
858,5.96,5.37,119.24,2018-09-02 08:56:00,1
859,5.61,5.30,119.54,2018-09-02 08:57:00,1
860,5.77,5.92,120.04,2018-09-02 08:58:00,1
861,5.29,5.64,123.47,2018-09-02 08:59:00,1
862,5.32,5.14,122.72,2018-09-02 09:00:00,1
863,5.82,5.82,123.58,2018-09-02 09:01:00,1
864,5.98,5.92,122.43,2018-09-02 09:02:00,1
865,5.75,5.52,122.91,2018-09-02 09:03:00,1
866,5.44,5.13,122.75,2018-09-02 09:04:00,1
867,5.93,5.60,123.63,2018-09-02 09:05:00,1
868,5.63,5.58,122.75,2018-09-02 09:06:00,1
869,5.83,6.00,128.38,2018-09-02 09:07:00,1
870,5.62,5.21,129.54,2018-09-02 09:08:00,1
871,5.66,5.51,125.21,2018-09-02 09:09:00,1
872,5.93,5.80,124.70,2018-09-02 09:10:00,1
873,5.90,5.66,128.19,2018-09-02 09:11:00,1
874,5.39,5.05,119.41,2018-09-02 09:12:00,1
875,5.78,5.40,119.05,2018-09-02 09:13:00,1
876,5.49,5.15,119.69,2018-09-02 09:14:00,1
877,5.36,5.35,120.06,2018-09-02 09:15:00,1
878,5.64,5.47,119.59,2018-09-02 09:16:00,1
879,5.90,5.87,120.16,2018-09-02 09:17:00,1
880,5.37,5.54,119.47,2018-09-02 09:18:00,1
