id,ph,dissolved_oxygen,electric_conductivity,date,station_point_id
950,5.54,3.15,635.87,2018-09-02 08:29:00,2
951,5.41,2.82,650.13,2018-09-02 08:30:00,2
952,5.36,2.84,653.33,2018-09-02 08:31:00,2
953,5.87,2.73,640.36,2018-09-02 08:32:00,2
954,5.74,2.43,638.70,2018-09-02 08:33:00,2
955,5.18,2.56,655.38,2018-09-02 08:34:00,2
956,5.52,3.77,656.57,2018-09-02 08:35:00,2
957,5.43,2.36,654.41,2018-09-02 08:36:00,2
958,5.18,4.44,645.92,2018-09-02 08:37:00,2
959,5.13,2.70,634.96,2018-09-02 08:38:00,2
960,5.08,3.68,637.19,2018-09-02 08:39:00,2
961,5.59,2.97,649.33,2018-09-02 08:40:00,2
962,5.69,2.99,656.90,2018-09-02 08:41:00,2
963,5.62,3.69,633.48,2018-09-02 08:42:00,2
964,5.76,4.28,644.64,2018-09-02 08:43:00,2
965,5.19,4.99,640.28,2018-09-02 08:44:00,2
966,5.06,3.19,633.49,2018-09-02 08:45:00,2
967,5.10,3.15,633.34,2018-09-02 08:46:00,2
968,5.68,3.45,652.96,2018-09-02 08:47:00,2
969,5.44,3.35,640.57,2018-09-02 08:48:00,2
970,5.53,3.81,643.44,2018-09-02 08:49:00,2
971,5.35,4.33,645.25,2018-09-02 08:50:00,2
972,5.65,2.32,640.21,2018-09-02 08:51:00,2
973,5.19,3.06,639.34,2018-09-02 08:52:00,2
974,5.10,2.99,633.17,2018-09-02 08:53:00,2
975,5.37,4.10,640.13,2018-09-02 08:54:00,2
976,5.25,2.87,644.58,2018-09-02 08:55:00,2
977,5.59,4.21,637.12,2018-09-02 08:56:00,2
978,5.21,4.21,644.10,2018-09-02 08:57:00,2
979,5.71,3.59,635.26,2018-09-02 08:58:00,2
980,5.10,3.78,645.83,2018-09-02 08:59:00,2
981,5.08,3.69,650.75,2018-09-02 09:00:00,2
982,5.31,3.25,650.67,2018-09-02 09:01:00,2
983,5.49,3.80,642.44,2018-09-02 09:02:00,2
984,5.29,2.57,656.65,2018-09-02 09:03:00,2
