id,ph,dissolved_oxygen,electric_conductivity,date,station_point_id
1069,5.58,5.88,744.28,2018-09-02 08:29:00,3
1070,4.88,5.88,711.69,2018-09-02 08:30:00,3
1071,4.76,6.23,711.68,2018-09-02 08:31:00,3
1072,5.44,6.17,730.31,2018-09-02 08:32:00,3
1073,5.04,5.69,697.48,2018-09-02 08:33:00,3
1074,5.01,6.27,712.88,2018-09-02 08:34:00,3
1075,5.43,5.93,729.39,2018-09-02 08:35:00,3
1076,5.58,6.11,740.82,2018-09-02 08:36:00,3
1077,5.44,5.85,686.77,2018-09-02 08:37:00,3
1078,5.62,6.18,753.23,2018-09-02 08:38:00,3
1079,4.95,5.95,755.13,2018-09-02 08:39:00,3
1080,4.84,5.63,719.76,2018-09-02 08:40:00,3
1081,4.81,5.46,694.53,2018-09-02 08:41:00,3
1082,5.44,5.55,755.68,2018-09-02 08:42:00,3
1083,4.87,5.78,736.49,2018-09-02 08:43:00,3
1084,4.82,5.93,742.80,2018-09-02 08:44:00,3
1085,5.41,5.96,730.94,2018-09-02 08:45:00,3
1086,4.79,6.04,725.98,2018-09-02 08:46:00,3
1087,5.40,5.98,743.93,2018-09-02 08:47:00,3
1088,5.66,5.60,720.83,2018-09-02 08:48:00,3
1089,5.12,6.23,759.03,2018-09-02 08:49:00,3
1090,5.51,5.76,730.49,2018-09-02 08:50:00,3
1091,5.16,6.08,735.59,2018-09-02 08:51:00,3
1092,5.30,5.81,741.01,2018-09-02 08:52:00,3
1093,5.68,5.84,756.06,2018-09-02 08:53:00,3
1094,4.86,5.61,697.57,2018-09-02 08:54:00,3
1095,4.86,5.47,764.50,2018-09-02 08:55:00,3
1096,5.39,5.74,737.59,2018-09-02 08:56:00,3
1097,5.20,5.91,738.20,2018-09-02 08:57:00,3
1098,4.82,6.04,749.78,2018-09-02 08:58:00,3
1099,4.95,5.63,695.51,2018-09-02 08:59:00,3
1100,5.20,5.77,740.75,2018-09-02 09:00:00,3
1101,5.46,6.00,761.33,2018-09-02 09:01:00,3
1102,5.01,5.72,709.20,2018-09-02 09:02:00,3
1103,5.38,6.20,764.79,2018-09-02 09:03:00,3
1104,4.90,5.91,712.47,2018-09-02 09:04:00,3
1105,5.39,5.39,684.75,2018-09-02 09:05:00,3
1106,4.99,5.46,717.06,2018-09-02 09:06:00,3
1107,5.68,5.34,693.50,2018-09-02 09:07:00,3
1108,4.78,5.95,712.19,2018-09-02 09:08:00,3
1109,5.42,6.21,718.67,2018-09-02 09:09:00,3
1110,5.28,5.99,751.16,2018-09-02 09:10:00,3
1111,4.92,5.53,744.27,2018-09-02 09:11:00,3
1112,4.75,5.99,742.14,2018-09-02 09:12:00,3
1113,5.28,5.35,766.41,2018-09-02 09:13:00,3
1114,4.81,6.16,721.75,2018-09-02 09:14:00,3
1115,4.87,5.56,717.01,2018-09-02 09:15:00,3
1116,4.94,6.18,698.51,2018-09-02 09:16:00,3
