id,ph,dissolved_oxygen,electric_conductivity,date,station_point_id
1188,5.89,5.54,207.03,2018-10-01 13:43:00,1
1189,6.10,5.69,210.71,2018-10-01 13:44:00,1
1190,6.56,5.32,207.69,2018-10-01 13:45:00,1
1191,5.84,5.54,210.26,2018-10-01 13:46:00,1
1192,6.03,5.03,207.30,2018-10-01 13:47:00,1
1193,6.33,5.18,205.72,2018-10-01 13:48:00,1
1194,5.90,5.72,207.02,2018-10-01 13:49:00,1
1195,6.14,5.29,209.09,2018-10-01 13:50:00,1
1196,5.83,5.20,210.47,2018-10-01 13:51:00,1
1197,6.49,5.89,210.12,2018-10-01 13:52:00,1
1198,5.96,5.02,208.55,2018-10-01 13:53:00,1
1199,6.04,5.72,206.40,2018-10-01 13:54:00,1
1200,6.21,5.74,208.18,2018-10-01 13:55:00,1
1201,6.59,4.87,210.02,2018-10-01 13:56:00,1
1202,6.43,5.35,210.94,2018-10-01 13:57:00,1
1203,6.05,5.34,207.85,2018-10-01 13:58:00,1
1204,6.55,5.04,209.46,2018-10-01 13:59:00,1
1205,6.08,4.93,209.56,2018-10-01 14:00:00,1
1206,6.57,5.41,205.44,2018-10-01 14:01:00,1
1207,5.85,5.24,207.67,2018-10-01 14:02:00,1
1208,6.41,4.88,205.50,2018-10-01 14:03:00,1
1209,5.80,5.33,207.31,2018-10-01 14:04:00,1
1210,5.86,5.06,206.80,2018-10-01 14:05:00,1
1211,5.94,5.34,207.97,2018-10-01 14:06:00,1
1212,6.51,5.13,211.46,2018-10-01 14:07:00,1
1213,6.11,5.29,209.46,2018-10-01 14:08:00,1
1214,5.79,5.81,205.61,2018-10-01 14:09:00,1
1215,5.81,5.73,208.02,2018-10-01 14:10:00,1
1216,6.07,5.49,211.25,2018-10-01 14:11:00,1
1217,6.32,5.37,208.86,2018-10-01 14:12:00,1
1218,6.31,4.88,210.99,2018-10-01 14:13:00,1
1219,5.77,5.41,206.04,2018-10-01 14:14:00,1
1220,5.98,5.64,210.17,2018-10-01 14:15:00,1
1221,6.10,5.01,208.69,2018-10-01 14:16:00,1
1222,6.30,5.32,206.25,2018-10-01 14:17:00,1
1223,6.59,4.97,209.85,2018-10-01 14:18:00,1
1224,5.87,5.44,208.89,2018-10-01 14:19:00,1
1225,5.94,5.82,211.00,2018-10-01 14:20:00,1
1226,6.26,5.62,210.38,2018-10-01 14:21:00,1
1227,6.00,5.71,210.57,2018-10-01 14:22:00,1
1228,6.30,5.42,205.42,2018-10-01 14:23:00,1
1229,5.83,5.56,210.85,2018-10-01 14:24:00,1
1230,6.04,5.38,207.26,2018-10-01 14:25:00,1
1231,6.40,5.32,206.73,2018-10-01 14:26:00,1
1232,5.80,5.78,209.33,2018-10-01 14:27:00,1
1233,6.00,5.13,207.54,2018-10-01 14:28:00,1
1234,5.81,5.75,210.05,2018-10-01 14:29:00,1
1235,6.35,5.74,205.37,2018-10-01 14:30:00,1
1236,6.30,5.86,210.14,2018-10-01 14:31:00,1
1237,6.46,5.41,208.78,2018-10-01 14:32:00,1
1238,5.81,5.03,206.70,2018-10-01 14:33:00,1
1239,6.17,5.34,206.89,2018-10-01 14:34:00,1
1240,5.85,5.08,211.12,2018-10-01 14:35:00,1
1241,5.99,5.65,208.36,2018-10-01 14:36:00,1
1242,6.57,5.77,208.61,2018-10-01 14:37:00,1
1243,6.58,4.98,208.95,2018-10-01 14:38:00,1
1244,6.32,5.44,206.67,2018-10-01 14:39:00,1
1245,6.03,4.91,205.77,2018-10-01 14:40:00,1
1246,6.24,5.75,207.91,2018-10-01 14:41:00,1
1247,5.81,5.17,205.42,2018-10-01 14:42:00,1
1248,5.81,5.60,207.96,2018-10-01 14:43:00,1
1249,6.44,4.94,207.01,2018-10-01 14:44:00,1
1250,5.85,5.00,205.38,2018-10-01 14:45:00,1
1251,6.14,5.61,205.88,2018-10-01 14:46:00,1
1252,5.78,5.44,205.62,2018-10-01 14:47:00,1
1253,6.09,5.36,208.87,2018-10-01 14:48:00,1
1254,6.18,5.17,211.42,2018-10-01 14:49:00,1
1255,5.82,5.46,205.93,2018-10-01 14:50:00,1
1256,5.76,5.83,209.31,2018-10-01 14:51:00,1
1257,6.48,5.16,209.15,2018-10-01 14:52:00,1
1258,6.39,5.48,205.78,2018-10-01 14:53:00,1
1259,6.22,5.10,208.39,2018-10-01 14:54:00,1
1260,6.51,5.83,211.32,2018-10-01 14:55:00,1
1261,6.24,5.49,208.37,2018-10-01 14:56:00,1
1262,5.90,5.53,205.88,2018-10-01 14:57:00,1
1263,6.46,4.94,210.76,2018-10-01 14:58:00,1
1264,6.43,5.36,211.27,2018-10-01 14:59:00,1
1265,5.79,5.09,207.87,2018-10-01 15:00:00,1
1266,6.53,5.87,211.26,2018-10-01 15:01:00,1
1267,6.53,5.22,211.04,2018-10-01 15:02:00,1
1268,6.37,4.89,205.48,2018-10-01 15:03:00,1
