id,ph,dissolved_oxygen,electric_conductivity,date,station_point_id
1365,4.64,4.54,853.18,2018-10-01 13:43:00,2
1366,4.79,4.98,825.99,2018-10-01 13:44:00,2
1367,5.17,4.42,831.53,2018-10-01 13:45:00,2
1368,5.12,4.54,855.33,2018-10-01 13:46:00,2
1369,4.81,4.61,823.11,2018-10-01 13:47:00,2
1370,5.00,4.71,836.66,2018-10-01 13:48:00,2
1371,5.13,4.73,821.01,2018-10-01 13:49:00,2
1372,4.81,4.69,831.95,2018-10-01 13:50:00,2
1373,4.66,4.45,846.54,2018-10-01 13:51:00,2
1374,4.90,4.54,833.30,2018-10-01 13:52:00,2
1375,4.91,4.36,827.98,2018-10-01 13:53:00,2
1376,5.02,4.68,822.63,2018-10-01 13:54:00,2
1377,4.81,4.77,832.30,2018-10-01 13:55:00,2
1378,5.18,4.75,841.52,2018-10-01 13:56:00,2
1379,4.97,4.64,828.19,2018-10-01 13:57:00,2
1380,5.13,4.44,833.95,2018-10-01 13:58:00,2
1381,5.03,4.61,840.59,2018-10-01 13:59:00,2
1382,4.86,4.42,834.91,2018-10-01 14:00:00,2
1383,4.96,4.84,820.21,2018-10-01 14:01:00,2
1384,5.00,4.84,824.68,2018-10-01 14:02:00,2
1385,4.64,4.75,854.13,2018-10-01 14:03:00,2
1386,4.74,4.89,823.20,2018-10-01 14:04:00,2
1387,5.03,4.41,858.40,2018-10-01 14:05:00,2
1388,5.22,4.70,845.63,2018-10-01 14:06:00,2
1389,5.21,4.87,820.59,2018-10-01 14:07:00,2
1390,4.73,4.69,857.25,2018-10-01 14:08:00,2
1391,4.99,4.50,857.21,2018-10-01 14:09:00,2
1392,5.21,4.56,834.21,2018-10-01 14:10:00,2
1393,5.16,4.74,827.62,2018-10-01 14:11:00,2
1394,5.24,4.80,850.59,2018-10-01 14:12:00,2
1395,4.65,4.66,827.60,2018-10-01 14:13:00,2
1396,4.68,4.69,828.93,2018-10-01 14:14:00,2
1397,5.23,4.59,847.22,2018-10-01 14:15:00,2
1398,4.97,4.68,850.60,2018-10-01 14:16:00,2
1399,5.26,4.60,856.20,2018-10-01 14:17:00,2
1400,5.06,4.81,832.94,2018-10-01 14:18:00,2
1401,4.69,4.98,829.48,2018-10-01 14:19:00,2
1402,5.01,4.39,821.62,2018-10-01 14:20:00,2
1403,5.15,4.85,825.80,2018-10-01 14:21:00,2
1404,5.21,4.42,845.45,2018-10-01 14:22:00,2
1405,4.71,4.98,853.17,2018-10-01 14:23:00,2
1406,4.95,4.95,830.05,2018-10-01 14:24:00,2
1407,5.15,4.40,821.50,2018-10-01 14:25:00,2
1408,4.85,4.50,833.75,2018-10-01 14:26:00,2
1409,4.91,4.86,825.66,2018-10-01 14:27:00,2
1410,4.68,4.95,845.58,2018-10-01 14:28:00,2
1411,5.25,4.97,826.59,2018-10-01 14:29:00,2
1412,4.81,4.81,846.36,2018-10-01 14:30:00,2
1413,5.09,4.95,840.28,2018-10-01 14:31:00,2
1414,4.81,4.84,828.64,2018-10-01 14:32:00,2
1415,5.00,4.87,837.36,2018-10-01 14:33:00,2
1416,4.79,4.79,844.91,2018-10-01 14:34:00,2
1417,4.68,4.49,818.85,2018-10-01 14:35:00,2
1418,5.16,4.37,853.31,2018-10-01 14:36:00,2
1419,4.94,4.72,833.60,2018-10-01 14:37:00,2
1420,4.92,4.87,838.87,2018-10-01 14:38:00,2
1421,5.18,4.54,855.35,2018-10-01 14:39:00,2
1422,4.71,4.95,836.98,2018-10-01 14:40:00,2
1423,4.86,4.86,844.11,2018-10-01 14:41:00,2
1424,4.74,4.47,850.35,2018-10-01 14:42:00,2
1425,4.91,4.83,836.69,2018-10-01 14:43:00,2
1426,4.86,4.91,848.61,2018-10-01 14:44:00,2
1427,4.93,4.61,852.67,2018-10-01 14:45:00,2
1428,5.00,4.50,819.66,2018-10-01 14:46:00,2
1429,5.06,4.66,832.83,2018-10-01 14:47:00,2
1430,4.83,4.74,823.75,2018-10-01 14:48:00,2
1431,4.68,4.83,857.31,2018-10-01 14:49:00,2
1432,5.12,4.44,824.33,2018-10-01 14:50:00,2
1433,4.69,4.98,845.82,2018-10-01 14:51:00,2
1434,5.03,4.64,826.29,2018-10-01 14:52:00,2
1435,5.24,4.89,848.23,2018-10-01 14:53:00,2
1436,5.12,4.35,847.50,2018-10-01 14:54:00,2
1437,5.08,4.35,856.51,2018-10-01 14:55:00,2
1438,5.00,4.35,822.32,2018-10-01 14:56:00,2
1439,4.75,4.79,824.83,2018-10-01 14:57:00,2
1440,5.24,4.63,824.84,2018-10-01 14:58:00,2
1441,4.89,4.99,819.29,2018-10-01 14:59:00,2
1442,5.04,4.37,835.40,2018-10-01 15:00:00,2
1443,4.91,4.37,838.63,2018-10-01 15:01:00,2
1444,5.23,4.91,854.80,2018-10-01 15:02:00,2
1445,4.94,4.73,847.54,2018-10-01 15:03:00,2
1446,5.10,4.64,841.71,2018-10-01 15:04:00,2
1447,4.77,4.48,852.76,2018-10-01 15:05:00,2
1448,4.76,4.87,852.00,2018-10-01 15:06:00,2
1449,4.78,4.63,834.10,2018-10-01 15:07:00,2
1450,4.87,4.87,857.90,2018-10-01 15:08:00,2
1451,5.06,4.41,818.09,2018-10-01 15:09:00,2
1452,4.80,4.82,821.88,2018-10-01 15:10:00,2
1453,4.73,4.48,847.52,2018-10-01 15:11:00,2
1454,5.02,4.83,824.60,2018-10-01 15:12:00,2
1455,5.09,4.44,849.85,2018-10-01 15:13:00,2
1456,5.01,4.81,840.91,2018-10-01 15:14:00,2
1457,4.75,4.85,840.23,2018-10-01 15:15:00,2
1458,4.69,4.47,825.31,2018-10-01 15:16:00,2
1459,5.03,4.61,850.59,2018-10-01 15:17:00,2
1460,4.72,4.61,842.35,2018-10-01 15:18:00,2
1461,4.96,4.60,852.83,2018-10-01 15:19:00,2
1462,5.09,4.81,837.14,2018-10-01 15:20:00,2
1463,5.02,4.96,828.11,2018-10-01 15:21:00,2
1464,5.10,4.76,828.54,2018-10-01 15:22:00,2
1465,5.22,4.48,837.54,2018-10-01 15:23:00,2
1466,5.09,4.99,818.84,2018-10-01 15:24:00,2
1467,5.08,4.60,831.03,2018-10-01 15:25:00,2
1468,5.10,4.79,858.63,2018-10-01 15:26:00,2
1469,4.77,4.79,829.00,2018-10-01 15:27:00,2
1470,4.71,4.44,829.73,2018-10-01 15:28:00,2
1471,4.70,4.41,827.27,2018-10-01 15:29:00,2
1472,4.66,4.44,832.88,2018-10-01 15:30:00,2
1473,5.04,4.92,839.78,2018-10-01 15:31:00,2
1474,5.04,5.02,823.56,2018-10-01 15:32:00,2
1475,5.16,4.37,852.51,2018-10-01 15:33:00,2
1476,5.01,4.76,847.79,2018-10-01 15:34:00,2
1477,5.10,4.49,846.18,2018-10-01 15:35:00,2
1478,4.84,4.73,823.45,2018-10-01 15:36:00,2
1479,4.72,4.64,829.76,2018-10-01 15:37:00,2
1480,4.82,4.43,834.61,2018-10-01 15:38:00,2
1481,4.80,4.77,848.08,2018-10-01 15:39:00,2
1482,4.64,4.81,845.50,2018-10-01 15:40:00,2
1483,4.80,4.93,847.88,2018-10-01 15:41:00,2
1484,4.85,5.01,823.07,2018-10-01 15:42:00,2
1485,4.97,4.46,817.79,2018-10-01 15:43:00,2
1486,5.22,4.69,844.27,2018-10-01 15:44:00,2
1487,5.14,4.47,845.28,2018-10-01 15:45:00,2
1488,4.95,4.83,846.79,2018-10-01 15:46:00,2
1489,5.14,4.74,825.22,2018-10-01 15:47:00,2
1490,5.23,4.35,843.60,2018-10-01 15:48:00,2
1491,4.94,4.67,830.76,2018-10-01 15:49:00,2
1492,5.64,4.62,828.61,2018-10-01 15:50:00,2
1493,5.13,4.73,825.16,2018-10-01 15:51:00,2
1494,5.58,5.30,833.05,2018-10-01 15:52:00,2
1495,5.74,5.29,813.14,2018-10-01 15:53:00,2
1496,5.91,5.75,816.48,2018-10-01 15:54:00,2
1497,5.20,5.68,813.02,2018-10-01 15:55:00,2
1498,5.67,5.42,810.78,2018-10-01 15:56:00,2
