id,ph,dissolved_oxygen,electric_conductivity,date,station_point_id
1542,4.41,2.78,964.59,2018-10-01 13:43:00,3
1543,4.49,2.85,948.94,2018-10-01 13:44:00,3
1544,4.55,2.77,963.19,2018-10-01 13:45:00,3
1545,4.66,2.70,951.34,2018-10-01 13:46:00,3
1546,4.86,2.55,951.85,2018-10-01 13:47:00,3
1547,4.55,2.86,949.23,2018-10-01 13:48:00,3
1548,4.72,2.62,966.94,2018-10-01 13:49:00,3
1549,4.44,2.48,962.29,2018-10-01 13:50:00,3
1550,4.83,2.67,958.06,2018-10-01 13:51:00,3
1551,4.87,2.50,956.67,2018-10-01 13:52:00,3
1552,4.74,2.75,957.62,2018-10-01 13:53:00,3
1553,4.71,2.59,964.58,2018-10-01 13:54:00,3
1554,4.65,2.63,954.42,2018-10-01 13:55:00,3
1555,4.79,2.85,968.48,2018-10-01 13:56:00,3
1556,4.71,2.79,946.88,2018-10-01 13:57:00,3
1557,4.56,2.79,965.14,2018-10-01 13:58:00,3
1558,4.57,2.46,956.91,2018-10-01 13:59:00,3
1559,4.59,2.85,950.79,2018-10-01 14:00:00,3
1560,4.52,2.50,949.24,2018-10-01 14:01:00,3
1561,4.79,2.69,949.87,2018-10-01 14:02:00,3
1562,4.75,2.62,961.88,2018-10-01 14:03:00,3
1563,4.64,2.70,951.42,2018-10-01 14:04:00,3
1564,4.79,2.74,958.26,2018-10-01 14:05:00,3
1565,4.72,2.57,966.58,2018-10-01 14:06:00,3
1566,4.85,2.57,962.23,2018-10-01 14:07:00,3
1567,4.39,2.88,954.96,2018-10-01 14:08:00,3
1568,4.45,2.82,957.01,2018-10-01 14:09:00,3
1569,4.74,2.77,955.69,2018-10-01 14:10:00,3
1570,4.69,2.79,958.21,2018-10-01 14:11:00,3
1571,4.71,2.77,955.73,2018-10-01 14:12:00,3
1572,4.75,2.51,959.17,2018-10-01 14:13:00,3
1573,4.41,2.46,959.93,2018-10-01 14:14:00,3
1574,4.55,2.54,955.59,2018-10-01 14:15:00,3
1575,4.59,2.75,959.25,2018-10-01 14:16:00,3
1576,4.71,2.51,958.76,2018-10-01 14:17:00,3
1577,4.64,2.69,948.51,2018-10-01 14:18:00,3
1578,4.68,2.72,960.79,2018-10-01 14:19:00,3
1579,4.62,2.78,967.56,2018-10-01 14:20:00,3
1580,4.46,2.82,963.37,2018-10-01 14:21:00,3
1581,4.63,2.71,954.94,2018-10-01 14:22:00,3
1582,4.84,2.81,966.16,2018-10-01 14:23:00,3
1583,4.70,2.80,962.17,2018-10-01 14:24:00,3
1584,4.81,2.65,954.83,2018-10-01 14:25:00,3
1585,4.88,2.82,952.89,2018-10-01 14:26:00,3
1586,4.64,2.57,964.69,2018-10-01 14:27:00,3
1587,4.62,2.52,963.35,2018-10-01 14:28:00,3
1588,4.55,2.81,954.23,2018-10-01 14:29:00,3
1589,4.50,2.56,968.03,2018-10-01 14:30:00,3
1590,4.60,2.56,966.00,2018-10-01 14:31:00,3
1591,4.79,2.58,948.26,2018-10-01 14:32:00,3
1592,4.87,2.81,956.64,2018-10-01 14:33:00,3
1593,4.70,2.49,961.85,2018-10-01 14:34:00,3
1594,4.52,2.50,956.25,2018-10-01 14:35:00,3
1595,4.75,2.45,954.17,2018-10-01 14:36:00,3
1596,4.42,2.63,967.16,2018-10-01 14:37:00,3
1597,4.88,2.54,961.14,2018-10-01 14:38:00,3
1598,4.41,2.45,951.94,2018-10-01 14:39:00,3
1599,4.42,2.59,952.27,2018-10-01 14:40:00,3
1600,4.36,2.55,960.64,2018-10-01 14:41:00,3
1601,4.78,2.55,959.92,2018-10-01 14:42:00,3
1602,4.43,2.66,962.43,2018-10-01 14:43:00,3
1603,4.71,2.73,959.05,2018-10-01 14:44:00,3
1604,4.79,2.60,959.06,2018-10-01 14:45:00,3
1605,4.63,2.55,962.51,2018-10-01 14:46:00,3
1606,4.55,2.74,957.13,2018-10-01 14:47:00,3
1607,4.46,2.81,960.17,2018-10-01 14:48:00,3
1608,4.62,2.66,947.60,2018-10-01 14:49:00,3
1609,4.77,2.72,966.55,2018-10-01 14:50:00,3
1610,4.83,2.83,966.31,2018-10-01 14:51:00,3
1611,4.36,2.84,960.90,2018-10-01 14:52:00,3
1612,4.67,2.69,963.84,2018-10-01 14:53:00,3
1613,4.85,2.64,952.82,2018-10-01 14:54:00,3
1614,4.60,2.86,952.52,2018-10-01 14:55:00,3
1615,4.46,2.88,948.46,2018-10-01 14:56:00,3
1616,4.72,2.66,951.49,2018-10-01 14:57:00,3
1617,4.44,2.67,950.23,2018-10-01 14:58:00,3
1618,4.46,2.57,968.63,2018-10-01 14:59:00,3
1619,4.52,2.83,963.98,2018-10-01 15:00:00,3
1620,4.42,2.50,948.77,2018-10-01 15:01:00,3
1621,4.43,2.84,947.68,2018-10-01 15:02:00,3
1622,4.76,2.84,959.38,2018-10-01 15:03:00,3
1623,4.35,2.57,949.89,2018-10-01 15:04:00,3
1624,4.48,2.50,967.02,2018-10-01 15:05:00,3
1625,4.65,2.78,960.71,2018-10-01 15:06:00,3
1626,4.74,2.56,965.52,2018-10-01 15:07:00,3
1627,4.82,2.75,948.91,2018-10-01 15:08:00,3
1628,4.81,2.64,956.36,2018-10-01 15:09:00,3
1629,4.40,2.71,962.03,2018-10-01 15:10:00,3
1630,4.87,2.57,958.97,2018-10-01 15:11:00,3
1631,4.83,2.81,966.78,2018-10-01 15:12:00,3
1632,4.86,2.64,958.93,2018-10-01 15:13:00,3
1633,4.36,2.61,961.91,2018-10-01 15:14:00,3
1634,4.64,2.53,960.91,2018-10-01 15:15:00,3
1635,4.78,2.74,959.46,2018-10-01 15:16:00,3
1636,4.63,2.66,958.63,2018-10-01 15:17:00,3
1637,4.51,2.46,963.86,2018-10-01 15:18:00,3
1638,4.66,2.72,961.54,2018-10-01 15:19:00,3
1639,4.37,2.86,949.70,2018-10-01 15:20:00,3
1640,4.64,2.45,953.65,2018-10-01 15:21:00,3
1641,4.47,2.53,961.75,2018-10-01 15:22:00,3
1642,4.83,2.52,955.60,2018-10-01 15:23:00,3
1643,4.69,2.87,955.17,2018-10-01 15:24:00,3
1644,4.73,2.81,958.92,2018-10-01 15:25:00,3
1645,4.76,2.54,946.82,2018-10-01 15:26:00,3
1646,4.74,2.48,967.54,2018-10-01 15:27:00,3
1647,4.52,2.51,956.48,2018-10-01 15:28:00,3
1648,4.75,2.54,946.95,2018-10-01 15:29:00,3
1649,4.72,2.59,962.99,2018-10-01 15:30:00,3
1650,4.84,2.66,968.22,2018-10-01 15:31:00,3
1651,4.57,2.80,954.29,2018-10-01 15:32:00,3
1652,4.36,2.85,952.04,2018-10-01 15:33:00,3
1653,4.47,2.83,950.27,2018-10-01 15:34:00,3
1654,4.50,2.46,953.78,2018-10-01 15:35:00,3
1655,4.88,2.78,965.82,2018-10-01 15:36:00,3
1656,4.58,2.52,957.57,2018-10-01 15:37:00,3
1657,4.60,2.46,951.19,2018-10-01 15:38:00,3
1658,4.44,2.74,948.43,2018-10-01 15:39:00,3
1659,4.44,2.51,952.04,2018-10-01 15:40:00,3
1660,4.41,2.80,947.17,2018-10-01 15:41:00,3
1661,4.49,2.71,951.86,2018-10-01 15:42:00,3
1662,4.69,2.50,965.26,2018-10-01 15:43:00,3
1663,4.77,2.73,966.90,2018-10-01 15:44:00,3
1664,4.79,2.49,968.23,2018-10-01 15:45:00,3
1665,4.59,2.82,968.81,2018-10-01 15:46:00,3
1666,4.63,2.44,952.90,2018-10-01 15:47:00,3
1667,4.84,2.71,964.08,2018-10-01 15:48:00,3
1668,4.67,2.72,949.63,2018-10-01 15:49:00,3
1669,4.61,2.66,964.44,2018-10-01 15:50:00,3
1670,4.53,2.47,952.10,2018-10-01 15:51:00,3
1671,4.45,2.53,964.31,2018-10-01 15:52:00,3
