id,ph,dissolved_oxygen,electric_conductivity,date,station_point_id
1719,8.97,5.90,186.52,2019-01-01 13:43:00,1
1720,9.19,5.93,185.82,2019-01-01 13:44:00,1
1721,8.82,6.00,182.22,2019-01-01 13:45:00,1
1722,9.78,5.86,195.46,2019-01-01 13:46:00,1
1723,9.25,6.01,198.22,2019-01-01 13:47:00,1
1724,9.00,5.89,183.74,2019-01-01 13:48:00,1
1725,8.89,5.98,194.19,2019-01-01 13:49:00,1
1726,8.73,5.89,183.62,2019-01-01 13:50:00,1
1727,8.74,5.94,182.92,2019-01-01 13:51:00,1
1728,8.81,5.89,201.75,2019-01-01 13:52:00,1
1729,9.12,5.96,195.28,2019-01-01 13:53:00,1
1730,9.48,5.93,183.56,2019-01-01 13:54:00,1
1731,8.59,5.98,193.30,2019-01-01 13:55:00,1
1732,9.64,5.98,189.19,2019-01-01 13:56:00,1
1733,9.55,5.96,196.42,2019-01-01 13:57:00,1
1734,9.70,5.92,182.01,2019-01-01 13:58:00,1
1735,9.53,5.98,187.62,2019-01-01 13:59:00,1
1736,8.85,5.89,201.51,2019-01-01 14:00:00,1
1737,8.93,5.92,197.78,2019-01-01 14:01:00,1
1738,8.90,5.97,181.98,2019-01-01 14:02:00,1
1739,8.67,5.92,183.98,2019-01-01 14:03:00,1
1740,9.33,5.97,183.90,2019-01-01 14:04:00,1
1741,8.83,5.99,190.25,2019-01-01 14:05:00,1
1742,8.63,5.87,184.23,2019-01-01 14:06:00,1
1743,8.63,5.88,182.07,2019-01-01 14:07:00,1
1744,9.40,5.87,186.57,2019-01-01 14:08:00,1
1745,9.03,5.96,201.05,2019-01-01 14:09:00,1
1746,8.60,5.88,183.55,2019-01-01 14:10:00,1
1747,9.42,5.92,197.75,2019-01-01 14:11:00,1
1748,8.70,5.97,199.51,2019-01-01 14:12:00,1
1749,9.29,5.97,194.59,2019-01-01 14:13:00,1
1750,8.97,6.01,188.84,2019-01-01 14:14:00,1
1751,8.59,5.99,186.15,2019-01-01 14:15:00,1
1752,9.62,6.01,199.98,2019-01-01 14:16:00,1
1753,9.54,5.92,188.01,2019-01-01 14:17:00,1
1754,8.72,5.87,182.24,2019-01-01 14:18:00,1
1755,8.76,5.99,195.86,2019-01-01 14:19:00,1
1756,9.02,5.89,187.51,2019-01-01 14:20:00,1
1757,9.49,5.95,194.82,2019-01-01 14:21:00,1
1758,9.30,5.93,191.64,2019-01-01 14:22:00,1
1759,8.99,5.89,199.53,2019-01-01 14:23:00,1
1760,9.69,6.02,199.75,2019-01-01 14:24:00,1
1761,9.57,5.99,185.48,2019-01-01 14:25:00,1
1762,9.75,6.00,194.46,2019-01-01 14:26:00,1
1763,8.90,6.02,195.49,2019-01-01 14:27:00,1
1764,9.47,5.94,184.84,2019-01-01 14:28:00,1
1765,9.24,5.94,197.46,2019-01-01 14:29:00,1
1766,9.70,6.01,198.77,2019-01-01 14:30:00,1
1767,9.19,5.87,193.32,2019-01-01 14:31:00,1
1768,9.12,5.91,198.15,2019-01-01 14:32:00,1
1769,9.48,5.91,195.31,2019-01-01 14:33:00,1
1770,8.58,5.92,190.10,2019-01-01 14:34:00,1
1771,8.83,6.02,186.26,2019-01-01 14:35:00,1
1772,9.34,5.96,193.64,2019-01-01 14:36:00,1
1773,9.02,5.97,199.30,2019-01-01 14:37:00,1
1774,9.57,5.95,197.87,2019-01-01 14:38:00,1
1775,9.36,5.98,198.04,2019-01-01 14:39:00,1
1776,9.63,5.93,184.84,2019-01-01 14:40:00,1
1777,9.65,5.95,196.58,2019-01-01 14:41:00,1
1778,9.30,6.03,201.45,2019-01-01 14:42:00,1
1779,8.79,5.88,200.83,2019-01-01 14:43:00,1
1780,9.44,5.88,196.58,2019-01-01 14:44:00,1
1781,9.20,5.93,192.61,2019-01-01 14:45:00,1
1782,9.41,5.99,191.21,2019-01-01 14:46:00,1
1783,8.71,5.93,181.84,2019-01-01 14:47:00,1
1784,9.03,5.90,183.73,2019-01-01 14:48:00,1
1785,9.71,6.02,192.61,2019-01-01 14:49:00,1
1786,9.04,5.88,195.03,2019-01-01 14:50:00,1
1787,9.39,5.94,187.02,2019-01-01 14:51:00,1
1788,9.49,5.98,185.32,2019-01-01 14:52:00,1
1789,9.63,5.96,199.09,2019-01-01 14:53:00,1
1790,9.19,5.91,186.98,2019-01-01 14:54:00,1
1791,9.12,5.88,183.37,2019-01-01 14:55:00,1
1792,8.88,5.97,201.52,2019-01-01 14:56:00,1
1793,9.36,5.87,184.98,2019-01-01 14:57:00,1
1794,9.49,5.97,199.31,2019-01-01 14:58:00,1
1795,9.12,5.95,182.05,2019-01-01 14:59:00,1
1796,9.27,5.98,193.43,2019-01-01 15:00:00,1
1797,9.61,5.93,187.92,2019-01-01 15:01:00,1
1798,9.54,5.97,201.72,2019-01-01 15:02:00,1
1799,8.72,6.00,189.15,2019-01-01 15:03:00,1
1800,8.57,5.90,181.72,2019-01-01 15:04:00,1
1801,8.76,5.99,192.92,2019-01-01 15:05:00,1
1802,9.54,5.88,195.27,2019-01-01 15:06:00,1
1803,9.42,5.87,187.85,2019-01-01 15:07:00,1
1804,8.67,5.95,200.42,2019-01-01 15:08:00,1
1805,9.64,6.01,187.19,2019-01-01 15:09:00,1
1806,9.07,6.01,192.71,2019-01-01 15:10:00,1
1807,9.23,6.03,184.23,2019-01-01 15:11:00,1
1808,8.75,5.91,187.86,2019-01-01 15:12:00,1
1809,9.39,6.01,199.54,2019-01-01 15:13:00,1
1810,8.92,5.99,192.45,2019-01-01 15:14:00,1
1811,9.44,5.94,201.43,2019-01-01 15:15:00,1
1812,9.33,6.00,197.06,2019-01-01 15:16:00,1
1813,9.76,5.99,184.79,2019-01-01 15:17:00,1
1814,9.07,6.00,182.50,2019-01-01 15:18:00,1
1815,9.55,6.01,184.92,2019-01-01 15:19:00,1
1816,9.46,5.97,196.59,2019-01-01 15:20:00,1
1817,9.53,5.96,188.40,2019-01-01 15:21:00,1
1818,8.93,5.98,202.01,2019-01-01 15:22:00,1
1819,9.06,6.03,182.39,2019-01-01 15:23:00,1
1820,9.38,5.94,200.42,2019-01-01 15:24:00,1
1821,8.92,5.88,197.25,2019-01-01 15:25:00,1
1822,9.11,5.95,187.19,2019-01-01 15:26:00,1
1823,8.83,5.88,188.76,2019-01-01 15:27:00,1
1824,9.16,5.88,183.32,2019-01-01 15:28:00,1
1825,9.72,5.90,191.76,2019-01-01 15:29:00,1
1826,9.33,5.89,194.35,2019-01-01 15:30:00,1
1827,9.71,5.88,189.00,2019-01-01 15:31:00,1
1828,8.63,5.89,189.78,2019-01-01 15:32:00,1
1829,8.77,5.93,199.93,2019-01-01 15:33:00,1
1830,9.23,5.92,192.83,2019-01-01 15:34:00,1
1831,9.34,5.92,194.51,2019-01-01 15:35:00,1
