id,ph,dissolved_oxygen,electric_conductivity,date,station_point_id
2073,5.69,4.41,1016.53,2019-01-01 13:43:00,3
2074,6.26,4.34,1365.45,2019-01-01 13:44:00,3
2075,6.09,4.38,1397.40,2019-01-01 13:45:00,3
2076,6.56,4.37,1120.42,2019-01-01 13:46:00,3
2077,6.35,4.37,1335.11,2019-01-01 13:47:00,3
2078,6.62,4.54,1166.00,2019-01-01 13:48:00,3
2079,5.70,4.57,1227.27,2019-01-01 13:49:00,3
2080,5.76,4.51,986.03,2019-01-01 13:50:00,3
2081,6.38,4.36,1379.99,2019-01-01 13:51:00,3
2082,6.62,4.75,1141.53,2019-01-01 13:52:00,3
2083,5.95,4.73,1146.77,2019-01-01 13:53:00,3
2084,6.39,4.71,990.46,2019-01-01 13:54:00,3
2085,6.52,4.36,1025.27,2019-01-01 13:55:00,3
2086,5.67,4.71,1074.74,2019-01-01 13:56:00,3
2087,5.92,4.35,1249.89,2019-01-01 13:57:00,3
2088,5.90,4.67,1131.21,2019-01-01 13:58:00,3
2089,6.33,4.73,1019.98,2019-01-01 13:59:00,3
2090,6.40,4.71,1243.64,2019-01-01 14:00:00,3
2091,5.69,4.40,1356.58,2019-01-01 14:01:00,3
2092,6.27,4.39,1061.85,2019-01-01 14:02:00,3
2093,5.85,4.48,1094.29,2019-01-01 14:03:00,3
2094,6.67,4.75,1151.83,2019-01-01 14:04:00,3
2095,6.32,4.38,1310.92,2019-01-01 14:05:00,3
2096,6.51,4.51,964.36,2019-01-01 14:06:00,3
2097,6.52,4.24,1223.80,2019-01-01 14:07:00,3
2098,6.06,4.69,1308.67,2019-01-01 14:08:00,3
2099,5.73,4.43,1226.50,2019-01-01 14:09:00,3
2100,6.22,4.24,1078.13,2019-01-01 14:10:00,3
2101,6.27,4.75,1018.82,2019-01-01 14:11:00,3
2102,6.30,4.31,1037.60,2019-01-01 14:12:00,3
2103,5.81,4.55,1240.93,2019-01-01 14:13:00,3
2104,5.69,4.34,1116.53,2019-01-01 14:14:00,3
2105,6.21,4.69,1134.78,2019-01-01 14:15:00,3
2106,6.36,4.33,1059.61,2019-01-01 14:16:00,3
2107,6.50,4.29,1243.36,2019-01-01 14:17:00,3
2108,6.40,4.67,1165.33,2019-01-01 14:18:00,3
2109,5.68,4.23,1245.10,2019-01-01 14:19:00,3
